item_number,item_description,etl_date
100248,MARTELL BLUE SWIFT W/ 2 GLASSES,2025-02-25T12:43:14.229347
100258,PATRON SILVER VERSION 3.0,2025-02-25T12:43:14.229347
100264,CROWN ROYAL W/TAILGATE KANSAS CITY CHIEFS FLASK,2025-02-25T12:43:14.229347
100274,BIRD DOG APPLE W/2 SHOT GLASSES,2025-02-25T12:43:14.229347
100276,BIRD DOG BLACKBERRY W/2 SHOT GLASSES,2025-02-25T12:43:14.229347
100278,"REVEL STOKE 750ML W/APPLE, PECAN & PINEAPPLE 50MLS",2025-02-25T12:43:14.229347
100280,THE BITTER TRUTH COCKTAIL BAR PACK,2025-02-25T12:43:14.229347
100282,GLEN MORAY CLASSIC CHARDONNAY CASK FINISH W/2 GLASSES,2025-02-25T12:43:14.229347
100293,HEAVEN HILL WHISKEY IN A TUBE,2025-02-25T12:43:14.229347
100294,DEEP EDDY W/THERMOS,2025-02-25T12:43:14.229347
100298,ST BRENDANS IRISH CREAM W/3-50MLS,2025-02-25T12:43:14.229347
100300,SEAGRAMS EXTRA SMOOTH VODKA 1.75L W/JUICY WATERMELON 50ML,2025-02-25T12:43:14.229347
100301,MAKERS MARK 46 W/2 GLASSES,2025-02-25T12:43:14.229347
100306,PATRON EXTRA ANEJO,2025-02-25T12:43:14.229347
100309,DISARONNO WEARS MISSONI W/2 GLASSES,2025-02-25T12:43:14.229347
100310,DISARONNO WEARS MISSONI MIGNON COUNTER UNIT,2025-02-25T12:43:14.229347
100329,BACARDI 8YR W/GLASS & ICE MOLD,2025-02-25T12:43:14.229347
100331,WHISKEY ENTHUSIAST PACK,2025-02-25T12:43:14.229347
100332,JIM BEAM 100ML TRI-PACK,2025-02-25T12:43:14.229347
100334,GREY GOOSE ORIGINAL FLOUR TIN,2025-02-25T12:43:14.229347
100335,CODY ROAD BOURBON W/ROCKS GLASS,2025-02-25T12:43:14.229347
100344,CASAMIGOS BLANCO TEQUILA W/CRADLE,2025-02-25T12:43:14.229347
100348,CASAMIGOS REPOSADO TEQUILA W/CRADLE,2025-02-25T12:43:14.229347
100352,AVIATION AMERICAN GIN MUDDLER SET,2025-02-25T12:43:14.229347
100353,KETEL ONE W/4 GLASSES,2025-02-25T12:43:14.229347
100354,STOLICHNAYA 80PRF 1.75L W/1L BLOODY MARY MIX,2025-02-25T12:43:14.229347
100360,PRAIRIE ORGANIC VODKA W/MUG,2025-02-25T12:43:14.229347
100394,IL TRAMONTO LIMONCELLO W/2 GLASSES,2025-02-25T12:43:14.229347
100404,COURVOISIER VS W/VSOP 50ML,2025-02-25T12:43:14.229347
100406,CRYSTAL HEAD VODKA MINI W/RED BOWS,2025-02-25T12:43:14.229347
100412,HENNESSY VS VHILS LIMTED EDITION GIFT BOX,2025-02-25T12:43:14.229347
100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,2025-02-25T12:43:14.229347
100414,JACK DANIELS TENNESSEE HONEY W/STIR STICKS,2025-02-25T12:43:14.229347
100416,SKYY VODKA CHILLER ICE JACKET,2025-02-25T12:43:14.229347
100417,GENTLEMAN JACK W/STAINLESS STEEL CUP,2025-02-25T12:43:14.229347
100423,FIREBALL 100ML CARRIER,2025-02-25T12:43:14.229347
100427,KNOB CREEK W/MUGS,2025-02-25T12:43:14.229347
100429,WRITERS TEARS COPPER POT VAP W/ FLASK,2025-02-25T12:43:14.229347
100430,ST GERMAIN W/2 GLASSES & STIRRERS,2025-02-25T12:43:14.229347
100433,SUNTORY TOKI W/HIGHBALL GLASS,2025-02-25T12:43:14.229347
100439,AVION EXTRA ANEJO W/WATERFORD GLASSES,2025-02-25T12:43:14.229347
100440,SKYY VODKA 1.75L WITH INFUSION WATERMELON 50ML LUG-ON,2025-02-25T12:43:14.229347
