,date,store_name,city,county,category_name,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
39,2020-10-27,Grand Falls Casino Resort,Larchwood,LYON,Coffee Liqueurs,12.0,1000.0,15.15,22.73,2.0,45.46,2.0,0.52
40,2020-02-11,Good and Quick Co,Nevada,STORY,Coffee Liqueurs,12.0,1000.0,15.15,22.73,2.0,45.46,2.0,0.52
41,2020-01-17,Spirits Liquor,Grimes,POLK,Coffee Liqueurs,12.0,1000.0,15.15,22.73,2.0,45.46,2.0,0.52
42,2020-02-04,The Ox & Wren Spirits and Gifts,Cresco,HOWARD,Gold Rum,12.0,1000.0,4.42,6.63,2.0,13.26,2.0,0.52
43,2020-01-20,Hy-Vee Food Store / Muscatine,Muscatine,MUSCATINE,Gold Rum,12.0,1000.0,4.42,6.63,2.0,13.26,2.0,0.52
44,2019-02-27,Hy-Vee Food Store #1 / Ames,Ames,STORY,Triple Sec,12.0,1000.0,2.13,3.2,2.0,6.4,2.0,0.52
45,2020-02-13,MMDG SPIRITS / Ames,Ames,STORY,Triple Sec,12.0,1000.0,2.13,3.2,2.0,6.4,2.0,0.52
46,2020-11-24,Hubers Store,Fort Atkinson,WINNESHIEK,Coffee Liqueurs,12.0,1000.0,8.39,12.59,2.0,25.18,2.0,0.52
47,2019-06-20,EZ Mart / Bondurant,Bondurant,POLK,Coffee Liqueurs,12.0,1000.0,8.39,12.59,2.0,25.18,2.0,0.52
48,2019-02-19,Jamboree Foods,Gowrie,WEBSTER,Coffee Liqueurs,12.0,1000.0,8.39,12.59,2.0,25.18,2.0,0.52
49,2019-07-17,Hy-Vee Wine & Spirits #2 / Davenport,Davenport,SCOTT,Aged Dark Rum,12.0,1000.0,8.39,12.59,2.0,25.18,2.0,0.52
50,2020-04-29,Celtics Beverage Company,Emmetsburg,PALO ALTO,Coffee Liqueurs,12.0,1000.0,8.39,12.59,2.0,25.18,2.0,0.52
51,"2019-05-31,""Central City Liquor, Inc."",Des Moines,POLK,Aged Dark Rum,12,1000,8.39,12.59,2,25.18,2.0,0.52",Unknown,Unknown,UNKNOWN,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2019-07-08,EZ Mart / Bondurant,Bondurant,POLK,Coffee Liqueurs,12.0,1000.0,8.39,12.59,2.0,25.18,2.0,0.52
53,2019-07-05,Hy-Vee Food Store #1 / Mason City,Mason City,CERRO GORD,American Sloe Gins,12.0,1000.0,5.42,8.13,2.0,16.26,2.0,0.52
54,"2018-09-18,""Iowa Street Market, Inc."",Dubuque,DUBUQUE,American Sloe Gins,12,1000,5.42,8.13,2,16.26,2.0,0.52",Unknown,Unknown,UNKNOWN,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2020-02-10,Sid's Beverage Shop,Dubuque,DUBUQUE,American Sloe Gins,12.0,1000.0,5.42,8.13,2.0,16.26,2.0,0.52
56,2019-06-05,Brother's Market Wine and Spirits,Sigourney,KEOKUK,American Sloe Gins,12.0,1000.0,5.42,8.13,2.0,16.26,2.0,0.52
57,2015-04-14,Hartig Drug Company #8 / University,DUBUQUE,Dubuque,100 PROOF VODKA,12.0,500.0,3.73,5.6,5.0,28.0,2.5,0.66
58,2017-12-12,Hy-Vee Food Store #2 / Iowa City,Iowa City,JOHNSON,Gold Rum,12.0,500.0,5.54,8.31,5.0,41.55,2.5,0.66
59,2017-07-19,HY-VEE / PLEASANT HILL,Pleasant Hill,Polk,Gold Rum,12.0,500.0,5.54,8.31,5.0,41.55,2.5,0.66
60,2017-12-20,Fareway Stores #147 / Carlisle,Carlisle,WARREN,Triple Sec,12.0,1000.0,2.33,3.5,4.0,14.0,4.0,1.06
61,2019-08-14,Hy-Vee Drugstore #5 / Cedar Rapids,Cedar Rapids,LINN,Triple Sec,12.0,1000.0,2.33,3.5,4.0,14.0,4.0,1.05
62,2021-04-14,Hy-Vee Drugstore / Iowa City,Iowa City,JOHNSON,Triple Sec,12.0,1000.0,2.33,3.5,4.0,14.0,4.0,1.05
63,2019-07-05,Hometown Foods / Panora,Panora,GUTHRIE,Triple Sec,12.0,1000.0,3.0,4.5,4.0,18.0,4.0,1.05
