category_number,category_name,etl_date
10511200,CHERRY BRANDIES,2025-02-25T12:42:12.892315
10511400,PEACH BRANDIES,2025-02-25T12:42:12.892315
10511500,MISCELLANEOUS  BRANDIES,2025-02-25T12:42:12.892315
10520100,IMPORTED GRAPE BRANDIES,2025-02-25T12:42:12.892315
10521000,IMPORTED BRANDIES,2025-02-25T12:42:12.892315
10620500,BARBADOS RUM,2025-02-25T12:42:12.892315
10621000,GOLD RUM,2025-02-25T12:42:12.892315
10622000,WHITE RUM,2025-02-25T12:42:12.892315
10622500,,2025-02-25T12:42:12.892315
10623000,FLAVORED RUM,2025-02-25T12:42:12.892315
10623100,SPICED RUM,2025-02-25T12:42:12.892315
10624000,SPICED RUM,2025-02-25T12:42:12.892315
10625000,FLAVORED RUM,2025-02-25T12:42:12.892315
10700000,COCKTAILS/RTD,2025-02-25T12:42:12.892315
10701000,TEMPORARY & SPECIALTY PACKAGES,2025-02-25T12:42:12.892315
10710000,COCKTAILS/RTD,2025-02-25T12:42:12.892315
10711000,COCKTAILS/RTD,2025-02-25T12:42:12.892315
10810000,AMERICAN CORDIALS & LIQUEURS,2025-02-25T12:42:12.892315
10810100,AMERICAN AMARETTO,2025-02-25T12:42:12.892315
10810150,IMPORTED AMARETTO,2025-02-25T12:42:12.892315
10810200,ANISETTE,2025-02-25T12:42:12.892315
10810300,COFFEE LIQUEURS,2025-02-25T12:42:12.892315
10811000,COFFEE LIQUEURS,2025-02-25T12:42:12.892315
10812000,CREAM LIQUEURS,2025-02-25T12:42:12.892315
10812100,CREME DE ALMOND,2025-02-25T12:42:12.892315
10812200,DARK CREME DE CACAO,2025-02-25T12:42:12.892315
10812300,WHITE CREME DE CACAO,2025-02-25T12:42:12.892315
10812400,GREEN CREME DE MENTHE,2025-02-25T12:42:12.892315
10812500,WHITE CREME DE MENTHE,2025-02-25T12:42:12.892315
10813000,AMERICAN CORDIALS & LIQUEURS,2025-02-25T12:42:12.892315
10813050,APPLE SCHNAPPS,2025-02-25T12:42:12.892315
10813120,BUTTERSCOTCH SCHNAPPS,2025-02-25T12:42:12.892315
10813150,CINNAMON SCHNAPPS,2025-02-25T12:42:12.892315
10813170,GRAPE SCHNAPPS,2025-02-25T12:42:12.892315
10813300,PEACH SCHNAPPS,2025-02-25T12:42:12.892315
10813350,RASPBERRY SCHNAPPS,2025-02-25T12:42:12.892315
10813400,ROOT BEER SCHNAPPS,2025-02-25T12:42:12.892315
10813500,SPEARMINT SCHNAPPS,2025-02-25T12:42:12.892315
10813550,STRAWBERRY SCHNAPPS,2025-02-25T12:42:12.892315
10813650,TROPICAL FRUIT SCHNAPPS,2025-02-25T12:42:12.892315
10813700,WATERMELON SCHNAPPS,2025-02-25T12:42:12.892315
10813800,MISCELLANEOUS SCHNAPPS,2025-02-25T12:42:12.892315
10813900,IMPORTED SCHNAPPS,2025-02-25T12:42:12.892315
10814000,AMERICAN SCHNAPPS,2025-02-25T12:42:12.892315
10815000,TRIPLE SEC,2025-02-25T12:42:12.892315
10816000,WHISKEY LIQUEUR,2025-02-25T12:42:12.892315
10817000,DISTILLED SPIRITS SPECIALTY,2025-02-25T12:42:12.892315
10819000,MISC. AMERICAN CORDIALS & LIQUEURS,2025-02-25T12:42:12.892315
10820000,IMPORTED CORDIALS & LIQUEURS,2025-02-25T12:42:12.892315
10820100,AMARETTO - IMPORTED,2025-02-25T12:42:12.892315
10820150,IMPORTED AMARETTO,2025-02-25T12:42:12.892315
10821000,IMPORTED CORDIALS & LIQUEURS,2025-02-25T12:42:12.892315
10822000,IMPORTED SCHNAPPS,2025-02-25T12:42:12.892315
10823000,SCHNAPPS - IMPORTED,2025-02-25T12:42:12.892315
10823900,SCHNAPPS - IMPORTED,2025-02-25T12:42:12.892315
10829000,MISC. IMPORTED CORDIALS & LIQUEURS,2025-02-25T12:42:12.892315
10892900,,2025-02-25T12:42:12.892315
10900000,DISTILLED SPIRITS SPECIALTY,2025-02-25T12:42:12.892315
10910000,AMERICAN DISTILLED SPIRITS SPECIALTY,2025-02-25T12:42:12.892315
10911000,AMERICAN DISTILLED SPIRITS SPECIALTY,2025-02-25T12:42:12.892315
10912000,NEUTRAL GRAIN SPIRITS,2025-02-25T12:42:12.892315
10913000,NEUTRAL GRAIN SPIRITS FLAVORED,2025-02-25T12:42:12.892315
10914000,IOWA DISTILLERIES,2025-02-25T12:42:12.892315
10920000,IMPORTED DISTILLED SPIRITS SPECIALTY,2025-02-25T12:42:12.892315
10921000,IMPORTED DISTILLED SPIRITS SPECIALTY,2025-02-25T12:42:12.892315
11011000,AMERICAN ALCOHOL,2025-02-25T12:42:12.892315
15011000,HIGH PROOF BEER - AMERICAN,2025-02-25T12:42:12.892315
17000000,TEMPORARY & SPECIALTY PACKAGES,2025-02-25T12:42:12.892315
17011000,TEMPORARY & SPECIALTY PACKAGES,2025-02-25T12:42:12.892315
17012000,HOLIDAY VAP,2025-02-25T12:42:12.892315
19000000,DELISTED / SPECIAL ORDER ITEMS,2025-02-25T12:42:12.892315
19010000,SPECIAL ORDER ITEMS,2025-02-25T12:42:12.892315
19011000,DELISTED ITEMS,2025-02-25T12:42:12.892315
19012000,SPECIAL ORDER ITEMS,2025-02-25T12:42:12.892315
